Element,Facet,X1,Y1,X2,Y2,time_step_0 - q''x,time_step_0 - q''y,time_step_0 - q'',time_step_1 - q''x,time_step_1 - q''y,time_step_1 - q''
30,0,0.0,0.13333333333333333,0.06666666666666668,0.13333333333333333,100000000000000.0,-0.0,100000000000000.0,100000000000000.0,-0.0,100000000000000.0
30,1,0.06666666666666668,0.13333333333333333,0.06666666666666668,0.2,0.0,0.0,0.0,0.0,0.0,0.0
30,2,0.06666666666666668,0.2,0.0,0.2,100000000000000.0,0.0,100000000000000.0,100000000000000.0,0.0,100000000000000.0
30,3,0.0,0.2,0.0,0.13333333333333333,-0.0,0.375,0.375,-0.0,0.375,0.375
31,0,0.06666666666666668,0.13333333333333333,0.13333333333333333,0.13333333333333333,99999999999999.62,-0.0,99999999999999.62,99999999999999.62,-0.0,99999999999999.62
31,1,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0
31,2,0.13333333333333333,0.2,0.06666666666666668,0.2,99999999999999.5,0.0,99999999999999.5,99999999999999.5,0.0,99999999999999.5
31,3,0.06666666666666668,0.2,0.06666666666666668,0.13333333333333333,0.0,-0.125,0.125,0.0,-0.125,0.125
32,0,0.13333333333333333,0.13333333333333333,0.2,0.13333333333333333,99999999999999.23,-0.0,99999999999999.23,99999999999999.25,-0.0,99999999999999.25
32,1,0.2,0.13333333333333333,0.2,0.2,-0.0,-0.125,0.125,-0.0,-0.125,0.125
32,2,0.2,0.2,0.13333333333333333,0.2,99999999999999.5,0.0,99999999999999.5,99999999999999.5,0.0,99999999999999.5
32,3,0.13333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.0,-0.0,0.0,0.0,-0.0,0.0
33,0,0.2,0.13333333333333333,0.26666666666666666,0.13333333333333333,100000000000000.12,-0.0,100000000000000.12,100000000000000.12,-0.0,100000000000000.12
33,1,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.2,0.0,0.5,0.5,0.0,0.5,0.5
33,2,0.26666666666666666,0.2,0.2,0.2,100000000000000.62,0.0,100000000000000.62,100000000000000.62,0.0,100000000000000.62
33,3,0.2,0.2,0.2,0.13333333333333333,-0.0,0.125,0.125,-0.0,0.125,0.125
34,0,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.13333333333333333,100000000000000.23,-0.0,100000000000000.23,100000000000000.25,-0.0,100000000000000.25
34,1,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.2,-0.0,-0.0625,0.0625,-0.0,-0.0625,0.0625
34,2,0.3333333333333333,0.2,0.26666666666666666,0.2,99999999999999.77,0.0,99999999999999.77,99999999999999.75,0.0,99999999999999.75
34,3,0.26666666666666666,0.2,0.26666666666666666,0.13333333333333333,-0.0,0.375,0.375,-0.0,0.375,0.375
35,0,0.3333333333333333,0.13333333333333333,0.4,0.13333333333333333,99999999999999.62,0.16653345369377276,99999999999999.62,99999999999999.62,0.16653345369377276,99999999999999.62
35,1,0.4,0.13333333333333333,0.4,0.2,-0.0,-0.1875,0.1875,-0.0,-0.1875,0.1875
35,2,0.4,0.2,0.3333333333333333,0.2,99999999999999.77,-0.1665334536937731,99999999999999.77,99999999999999.75,-0.1665334536937731,99999999999999.75
35,3,0.3333333333333333,0.2,0.3333333333333333,0.13333333333333333,0.0,-0.3125,0.3125,0.0,-0.3125,0.3125
36,0,0.4,0.13333333333333333,0.4666666666666667,0.13333333333333333,100000000000000.0,-0.0,100000000000000.0,100000000000000.0,-0.0,100000000000000.0
36,1,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.2,-0.0,-0.0625,0.0625,-0.0,-0.0625,0.0625
36,2,0.4666666666666667,0.2,0.4,0.2,100000000000000.0,0.0,100000000000000.0,100000000000000.0,0.0,100000000000000.0
36,3,0.4,0.2,0.4,0.13333333333333333,0.0,-0.4375,0.4375,0.0,-0.4375,0.4375
37,0,0.4666666666666667,0.13333333333333333,0.5333333333333333,0.13333333333333333,99999999999999.88,-0.0,99999999999999.88,99999999999999.88,-0.0,99999999999999.88
37,1,0.5333333333333333,0.13333333333333333,0.5333333333333333,0.2,-0.0,-0.25,0.25,-0.0,-0.25,0.25
37,2,0.5333333333333333,0.2,0.4666666666666667,0.2,99999999999999.94,0.0,99999999999999.94,99999999999999.94,0.0,99999999999999.94
37,3,0.4666666666666667,0.2,0.4666666666666667,0.13333333333333333,0.0,-0.1875,0.1875,0.0,-0.1875,0.1875
38,0,0.5333333333333333,0.13333333333333333,0.6,0.13333333333333333,100000000000000.44,-0.0,100000000000000.44,100000000000000.44,-0.0,100000000000000.44
38,1,0.6,0.13333333333333333,0.6,0.2,-0.0,-0.40625,0.40625,-0.0,-0.40625,0.40625
38,2,0.6,0.2,0.5333333333333333,0.2,100000000000000.23,0.0,100000000000000.23,100000000000000.25,0.0,100000000000000.25
38,3,0.5333333333333333,0.2,0.5333333333333333,0.13333333333333333,0.0,-0.3125,0.3125,0.0,-0.3125,0.3125
39,0,0.6,0.13333333333333333,0.6666666666666666,0.13333333333333333,99999999999999.9,-0.0,99999999999999.9,99999999999999.9,-0.0,99999999999999.9
39,1,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.2,-0.0,-0.28125,0.28125,-0.0,-0.28125,0.28125
39,2,0.6666666666666666,0.2,0.6,0.2,100000000000000.1,0.0,100000000000000.1,100000000000000.1,0.0,100000000000000.1
39,3,0.6,0.2,0.6,0.13333333333333333,0.0,-0.3125,0.3125,0.0,-0.3125,0.3125
40,0,0.6666666666666666,0.13333333333333333,0.7333333333333333,0.13333333333333333,100000000000000.12,-0.0,100000000000000.12,100000000000000.12,-0.0,100000000000000.12
40,1,0.7333333333333333,0.13333333333333333,0.7333333333333333,0.2,-0.0,-0.125,0.125,-0.0,-0.125,0.125
40,2,0.7333333333333333,0.2,0.6666666666666666,0.2,100000000000000.06,0.0,100000000000000.06,100000000000000.06,0.0,100000000000000.06
40,3,0.6666666666666666,0.2,0.6666666666666666,0.13333333333333333,0.0,-0.09375,0.09375,0.0,-0.09375,0.09375
41,0,0.7333333333333333,0.13333333333333333,0.8,0.13333333333333333,100000000000000.14,-0.0,100000000000000.14,100000000000000.14,-0.0,100000000000000.14
41,1,0.8,0.13333333333333333,0.8,0.2,-0.0,-0.109375,0.109375,-0.0,-0.109375,0.109375
41,2,0.8,0.2,0.7333333333333333,0.2,100000000000000.23,0.0,100000000000000.23,100000000000000.25,0.0,100000000000000.25
41,3,0.7333333333333333,0.2,0.7333333333333333,0.13333333333333333,-0.0,0.09375,0.09375,-0.0,0.09375,0.09375
42,0,0.8,0.13333333333333333,0.8666666666666667,0.13333333333333333,100000000000000.22,0.3330669073875475,100000000000000.22,100000000000000.22,0.3330669073875475,100000000000000.22
42,1,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.2,0.0,0.140625,0.140625,0.0,0.140625,0.140625
42,2,0.8666666666666667,0.2,0.8,0.2,100000000000000.12,-0.33306690738754746,100000000000000.12,100000000000000.12,-0.33306690738754746,100000000000000.12
42,3,0.8,0.2,0.8,0.13333333333333333,-0.0,0.09375,0.09375,-0.0,0.09375,0.09375
43,0,0.8666666666666667,0.13333333333333333,0.9333333333333332,0.13333333333333333,100000000000000.2,-0.0,100000000000000.2,100000000000000.19,-0.0,100000000000000.19
43,1,0.9333333333333332,0.13333333333333333,0.9333333333333332,0.2,0.0,0.09375,0.09375,0.0,0.09375,0.09375
43,2,0.9333333333333332,0.2,0.8666666666666667,0.2,100000000000000.16,0.0,100000000000000.16,100000000000000.16,0.0,100000000000000.16
43,3,0.8666666666666667,0.2,0.8666666666666667,0.13333333333333333,0.0,-0.109375,0.109375,0.0,-0.109375,0.109375
44,0,0.9333333333333332,0.13333333333333333,1.0,0.13333333333333333,100000000000000.1,-0.3330669073875471,100000000000000.1,100000000000000.1,-0.3330669073875471,100000000000000.1
44,1,1.0,0.13333333333333333,1.0,0.2,0.0,0.08203125,0.08203125,0.0,0.08203125,0.08203125
44,2,1.0,0.2,0.9333333333333332,0.2,100000000000000.28,0.333066907387548,100000000000000.28,100000000000000.28,0.33306690738754796,100000000000000.28
44,3,0.9333333333333332,0.2,0.9333333333333332,0.13333333333333333,0.0,-0.09375,0.09375,0.0,-0.09375,0.09375
45,0,0.0,0.2,0.06666666666666668,0.2,99999999999999.77,-0.0,99999999999999.77,99999999999999.75,-0.0,99999999999999.75
45,1,0.06666666666666668,0.2,0.06666666666666668,0.26666666666666666,-0.0,-0.125,0.125,-0.0,-0.125,0.125
45,2,0.06666666666666668,0.26666666666666666,0.0,0.26666666666666666,99999999999999.5,0.0,99999999999999.5,99999999999999.5,0.0,99999999999999.5
45,3,0.0,0.26666666666666666,0.0,0.2,-0.0,0.25,0.25,-0.0,0.25,0.25
46,0,0.06666666666666668,0.2,0.13333333333333333,0.2,99999999999999.5,-0.0,99999999999999.5,99999999999999.5,-0.0,99999999999999.5
46,1,0.13333333333333333,0.2,0.13333333333333333,0.26666666666666666,0.0,0.125,0.125,0.0,0.125,0.125
46,2,0.13333333333333333,0.26666666666666666,0.06666666666666668,0.26666666666666666,99999999999999.77,0.0,99999999999999.77,99999999999999.75,0.0,99999999999999.75
46,3,0.06666666666666668,0.26666666666666666,0.06666666666666668,0.2,-0.0,0.125,0.125,-0.0,0.125,0.125
47,0,0.13333333333333333,0.2,0.2,0.2,99999999999999.62,-0.0,99999999999999.62,99999999999999.62,-0.0,99999999999999.62
47,1,0.2,0.2,0.2,0.26666666666666666,0.0,0.375,0.375,0.0,0.375,0.375
47,2,0.2,0.26666666666666666,0.13333333333333333,0.26666666666666666,99999999999999.62,0.0,99999999999999.62,99999999999999.62,0.0,99999999999999.62
47,3,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.2,-0.0,0.125,0.125,-0.0,0.125,0.125
48,0,0.2,0.2,0.26666666666666666,0.2,100000000000000.69,-0.0,100000000000000.69,100000000000000.69,-0.0,100000000000000.69
48,1,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666,-0.0,-0.125,0.125,-0.0,-0.125,0.125
48,2,0.26666666666666666,0.26666666666666666,0.2,0.26666666666666666,100000000000000.12,0.0,100000000000000.12,100000000000000.12,0.0,100000000000000.12
48,3,0.2,0.26666666666666666,0.2,0.2,-0.0,0.375,0.375,-0.0,0.375,0.375
49,0,0.26666666666666666,0.2,0.3333333333333333,0.2,99999999999999.62,-0.0,99999999999999.62,99999999999999.62,-0.0,99999999999999.62
49,1,0.3333333333333333,0.2,0.3333333333333333,0.26666666666666666,-0.0,-0.25,0.25,-0.0,-0.25,0.25
